12 noon	12
head honcho	head
heat up	up
high noon	high
high time	high
highly relevant	highly
hoist up	up
hollow tube	hollow
honest truth	honest
hot water heater	hot
hours of .* .* to .* .*	hours of
hours of .* to .*	hours of
hurry up	up
illustrated drawing	illustrated
in actual fact	actual
in order to	in order
in which we live in	in
incredible to believe	to believe
indicted on a charge	on a charge
indicted on a charge of	on a charge
inner core	inner
inner feelings	inner
innovative new	new
input into	into
integral part of	integral
integrate together	together
integrate with each other	with each other
interconnected	inter
interdependent on each other	on each other
interweave|interwoven	inter
introduced a new	new
introduced for the first time	for the first time
inward	ward
inward into	inward
irregardless	ir
join together	together
joint collaboration	joint
join|assemble|meet together	together
just exactly|precisely|barely	just
just recently	just
kneel down	down
kneel|knelt down	down
know for sure|certain	for sure
knowledgeable experts	knowledgeable
lag behind	behind
last of all	of all
later time	time
left behind	behind
leftward	ward
lift up	up
linger on	on
little baby	little
little bit|smidgin|pinch	little 
live studio audience	live
live witness	live
local residents	local
located in|on|at	located
look ahead to the future	ahead
look back in hindsight|retrospect	looking back
look back in retrospect	in retrospect
lose out on	out on
made out of	out
main focus	main
major breakthrough	major
major feat	major
manually by hand	by hand
many different	different
mass media	mass
may possibly	possibly
meet together	together
meet up	up
meet with each other	with each other
mental telepathy	mental
merge together	together
merged together	together
meshed together	together
midway between	between
might possibly	possibly
migraine headache	headache
minestrone soup	soup
miss out on	out on
mix together	together
moment in time	in time
money-saving coupon	money-saving
much \w+er	much
mutual cooperation	mutual
mutual respect for each other	for each other
mutually dependent on each other	on each other
mutually interdependent	mutually
my personal opinion	personal
nape of her neck	of her neck
native habitat	native
natural instinct	natural
naturally instinct	naturally
necessary requirements	necessary
never at any time	at any time
never before	before
new beginning	new
new bride	new
new construction	new
new innovation	new
new innovative	new
new invention	new
new record	new
new recruit	new
no \w+ allowed	allowed
no \w+ permitted	permitted
none at all	at all
nostalgia for the past	for the past
now currently	now
now pending	now
null and void	null and
number of different	different
numerous different|separate	different, separate
off in the distance	off
off of	of
old adage	old
old adage|cliche|proverb	old
old cliche	old
old custom	old
old pioneer	old
old proverb	old
one and the same	one and
onto	to, on
onward	ward
open trench	open
open up	up
or alternatively	alternatively
oral conversation	oral
orbits around	around
originally created	originally
originally created|discovered	originally
output out of	out of
outside in the yard	outside
outside of	of
outward	ward
over and done with	over and, with
over and over again	again
over exaggerate	over
over top	top
over top of	top of
over with	with
overused cliche	overused
p.m. at night	p.m.
p.m. in the evening|afternoon	p.m.
pair of twins	pair of
palm of the hand	of the hand
passing fad	passing
past experience	past
past history	past
past memories	past
past records	past
past record|records|history	past
peace and quiet	peace and
penetrate into	into
penetrate through	through
per usual	per
perfect ideal	perfect
period of \w+ days|hours|minutes|seconds|years	period of
period of time	 of time
permeate all through|throughout	all throughout, all through
permeated all through|throughout	all through, all throughout
permeated through|throughout	through, throughout
personal belongings	personal
personal charm	personal
personal friend	personal
personal friendship	personal
personal opinion	personal
pick and choose	and choose
pitch black	pitch
pizza pie	pie
plan ahead	ahead
plan in advance	in advance
please RSVP	please
plunge down	down
point in time	in time
polar opposites	polar
positive identification	positive
postpone until later	until later
pouring down rain	down
precise same	precise
precisely the same|identical	precisely
preheat	pre
preplan	pre
prerecord 	pre
prerecorded	pre
present incumbent	present
present time	time
previously listed above	above
prior record|history	prior
private industry	private
probed into	into
proceed ahead	ahead
proposed plan	proposed
protest against	against
protrude out	out
pursue after	after
put off until later	until later
raise up	up
random chance	random
rate of speed	rate of
re-elect for another term	for another term
really unique	really
reason is because	because
reason why	why
recur again	again
refer back	back
reflect back	back
regular routine	regular
repeat again	again
reply back	back
retreat back	back
revert back	back
right now	right
right over	right
rightward	ward
rise up	up
rough estimate|approximation|guess	rough
rough rule of thumb	rough
round circle	round
round in shape	in shape
rustic country	country
safe haven	safe
safe sanctuary	safe
same exact	exact
same identical	same
sand dune	sand
scrutinize in detail	in detail
secret that cannot be told	 that cannot be told
seek out	out
seek to find	to find
separate \w+ out	out
separate entities	entities
separate the \w+ out	out
separated apart from each other	apart from each other
serious danger	serious
share together	together
sharp point	sharp
shiny in appearance	in appearance
short summary	short
shut down	down
single unit	single
sink down	down
situated in	situated
skipped over	over
slow speed	speed
small size	size
small speck	small
so as to	so as
so therefore	therefor
soaked to the skin	to the skin
soda pop	pop
soft in texture	in texture
soft to the touch	to the touch
sole of the foot	of the foot
some time to come	to come
somewhat unique	somewhat
specific details	specific
spell out in detail	in detail
spliced together	together
spring season	season
stacked together	together
start off	off
start out	out
start out	out
still lingers	still
still persists	still
still remains	still
subject matter	matter
sudden impulse	sudden
sufficient enough	enough
sum total	sum
summer season	the, season
surrounded on all sides	on all sides
swoop down	down
talking out loud	out loud
tall in height	in height
tall in stature	in stature
tear apart	apart
temper tantrum	temper
temporary reprieve	temporary
ten in number	in number
teriyaki barbecue	barbecue
the midnight hour	the, hour
the noon hour	the, hour
therapeutic treatment	therapeutic
these ones	ones
they themselves	themselves
thorough investigation	thorough
those ones	ones
three a.m. in the morning	in the morning
three-way love triangle	three-way
time clock	time
time period	time
tiny bit	tiny
tiny little|bit|smidge|pinch	tiny
to ask a question	a question
to ask for assistance	for assistance
to ask for help	for help
together at the same time	at the same time
total destruction	total
totally destroy	totally
totally unique	totally
true facts	true
truly sincere	truly
tuna fish	fish
twelve midnight	twelve
twelve noon	twelve
twelve noon or midnight	twelve
two equal halves	two equal
ultimate goal	ultimate
unconfirmed rumor	        unconfirmed
undeniable truth	truth
undergraduate student	student
underground subway	underground
unexpected emergency	unexpected
unexpected surprise	unexpected
unintentional mistake	mistake
universal panacea	universal
unnamed anonymous	unnamed
unsolved mystery	unsolved
up on top	up, top
up on top of	up, top of
upward	ward
usual custom	usual
vacillate back and forth	back and forth
variety of different|separate	different, separate
various different|separate	different, separate
veiled ambush	veiled
very beginning|end	very
very pregnant	very
very unique	very
visible to the eye	to the eye
wall mural	wall
warm up	up
warn in advance	in advance
way way	way way
we ourselves	ourselves
weather conditions	conditions
weather situation	situation
whether or not	or not
white snow	white
whole lot|bunch	whole
why come	come
winter season	season
write down	down
written down	down
yakitori chicken	chicken
years of \d\d\d\d \w+ \d\d\d\d	years of
yerba mate tea	tea
you yourself|yourselves	yourself, yourselves
young boy|girl|lad|lass|foal|colt|fawn	young
